lat,lng,name,source,osm_type,osm_id
50.369026,22.820887,,osm,node,12851612159
54.547818,18.438467,,osm,node,12856322352
52.556116,17.607901,,osm,node,12875186558
50.064284,21.518559,,osm,node,12889578877
52.174038,21.020991,,osm,node,12911258471
50.23139,18.659443,,osm,node,12911450431
52.506614,16.738638,,osm,node,12925509393
51.946277,15.489902,,osm,node,12964197999
51.946443,15.48991,,osm,node,12964198000
50.683269,17.853469,,osm,node,12995014361
51.128952,16.966323,,osm,node,12998033981
52.412691,16.930413,,osm,node,13105344287
52.412883,16.930522,,osm,node,13105344288
52.412824,16.930814,,osm,node,13105344290
52.412632,16.930714,,osm,node,13105357109
50.289623,18.870303,"KS Pogoń Ruda Śląska",osm,node,13114589825
51.127524,16.970745,,osm,node,13115371109
51.126846,16.973493,,osm,node,13115379502
52.879706,18.781492,,osm,node,13232494547
50.169637,19.542166,,osm,node,13286512342
54.364485,18.646329,,osm,node,13302145788
51.113298,16.985918,,osm,node,13324913674
50.570436,21.661056,,osm,node,13326703942
52.395056,22.001815,,osm,node,13337141175
53.932057,19.335697,,osm,node,13382151275
52.205454,21.402878,,osm,node,13449466135
51.105748,16.961651,,osm,node,13568398611
52.675524,18.315294,,osm,node,13638934633
50.364943,22.179182,,osm,node,13667038992
51.112353,17.015098,,osm,node,13714825543
51.149211,17.117797,,osm,node,13746564338
54.602443,18.337084,,osm,node,13767739298
51.132691,16.981113,,osm,node,13788129828
52.295172,21.039725,,osm,node,13798010298
51.106499,17.091914,,osm,node,13807073687
51.137168,16.980685,,osm,node,13809823876
52.253843,21.029843,,osm,node,13856135310
52.157342,20.797062,,osm,node,13885484184
54.227819,18.641735,,osm,node,13885873880
54.1845,15.577108,,osm,node,13893278584
49.970302,20.012057,"Boisko betonowe do koszykówki",osm,node,13982924655
52.278217,20.949203,,osm,node,14008269699
52.277842,20.948594,,osm,node,14008288103
52.27841,20.949289,,osm,node,14008288104
51.817281,19.425306,,osm,node,14017380791
51.554129,22.916371,,osm,node,14053638731
52.195022,21.088256,,osm,node,14056629025
54.147302,17.369875,,osm,node,14057225273
49.592784,21.964315,,osm,node,14082199114
52.247026,21.065366,,osm,way,26172459
53.394816,14.673325,,osm,way,26411539
52.364054,16.886776,,osm,way,27926824
52.367958,16.893632,,osm,way,28043134
52.374177,16.876185,,osm,way,28176215
52.219656,20.975238,,osm,way,28895940
52.144998,21.047956,,osm,way,29300159
52.25849,21.177141,,osm,way,29571413
53.365763,14.658176,,osm,way,30055795
52.222102,21.096142,,osm,way,30923221
52.177167,20.939145,,osm,way,34433978
50.300799,18.788502,,osm,way,34667760
52.195536,20.969567,,osm,way,35023441
52.19563,20.969221,,osm,way,35023442
52.23453,20.962184,,osm,way,35071361
52.231182,20.972407,,osm,way,35074367
52.222475,20.906569,,osm,way,35079349
50.100421,18.520353,,osm,way,35539819
52.157537,21.039367,,osm,way,36775312
51.205952,16.189557,,osm,way,39436369
52.258348,21.020904,,osm,way,41483372
51.208903,16.189917,,osm,way,41680417
52.283275,20.939743,,osm,way,43536082
52.282936,20.939653,,osm,way,43536083
50.084444,19.922049,,osm,way,44132118
53.380996,14.656391,,osm,way,45440679
52.199807,21.018704,,osm,way,46256238
53.489034,14.387809,,osm,way,47303380
51.095506,17.025817,,osm,way,50305802
50.011938,20.017024,,osm,way,51569406
50.018534,20.023358,,osm,way,52103179
50.018205,20.017947,,osm,way,54262543
50.441904,16.87273,,osm,way,55796473
52.138608,15.770906,,osm,way,56063355
51.204632,16.193896,,osm,way,56085845
52.274161,20.928557,,osm,way,59544251
52.21354,21.110654,,osm,way,61242472
51.701834,19.475822,,osm,way,61404376
51.715508,19.492539,,osm,way,61434448
52.156972,21.092402,,osm,way,62343710
52.184766,20.973347,,osm,way,63325467
51.227406,22.532807,,osm,way,64027234
50.011559,20.018986,,osm,way,67211192
52.27395,20.947487,,osm,way,70987189
50.058005,18.487988,"Orlik",osm,way,74297996
51.134972,17.03196,,osm,way,75313771
52.534511,17.601623,,osm,way,76203928
52.532543,17.609772,,osm,way,76790970
